scenario,n_runs_setting,base_seed,agent_setup,tau,beta,fx_cost,n_observations,final_gap_mean,final_gap_std,recovery_time_mean,recovery_time_std,recovery_b_mean,recovery_b_std,vol_before_mean,vol_after_mean
high_transport,50,142,high_agents,1.0,0.0,0.001,50,12.204580000000007,0.17941197489212807,163.75,61.87663041330181,1.0,0.0,0.00029810506701139785,0.0007867485065051997
high_transport,50,142,low_agents,1.0,0.0,0.001,50,8.734000000000009,1.05884033600107,0.68,1.0583005244258363,1.0,0.0,0.0004199187534349885,0.006958754895065287
high_transport,50,242,baseline_agents,1.0,0.0,0.001,50,8.62424000000001,3.357814738602401,11.631578947368421,24.178067486224393,1.0,0.0,0.00043850370290836045,0.004504506168549719
high_transport,50,242,high_agents,1.0,0.0,0.001,50,12.154060000000008,0.2007730376645731,168.93333333333334,67.70995565821983,1.0,0.0,0.00030253046264292984,0.0007932818813172378
high_transport,50,242,low_agents,1.0,0.0,0.001,50,8.93880000000001,0.9451263601945995,0.86,1.324956680077365,1.0,0.0,0.00040462125358814487,0.007207340681921217
high_transport,100,42,baseline_agents,1.0,0.0,0.001,100,8.874980000000008,3.595441575218277,4.733333333333333,6.2197313021757115,1.0,0.0,0.00036581964946360825,0.004073679760389634
high_transport,100,42,high_agents,1.0,0.0,0.001,100,12.188420000000008,0.19382394281430002,173.6764705882353,59.99430305693189,1.0,0.0,0.00030703280588746933,0.0007854257777551432
high_transport,100,42,low_agents,1.0,0.0,0.001,100,8.90910000000001,0.8617378436108698,0.55,1.104398917826783,1.0,0.0,0.00042027606724556017,0.004695988445719767
high_transport,100,142,baseline_agents,1.0,0.0,0.001,100,8.138310000000008,3.6356358778434665,7.461538461538462,20.597452772824727,1.0,0.0,0.0003432400086696329,0.005296854548025281
high_transport,100,142,high_agents,1.0,0.0,0.001,100,12.187090000000007,0.17742416761119334,174.0909090909091,65.46428750616032,1.0,0.0,0.00030294917710895673,0.000785273146026442
high_transport,100,142,low_agents,1.0,0.0,0.001,100,8.827900000000009,1.0150198236607224,0.71,1.0278446606684524,1.0,0.0,0.0004175793253828837,0.006929883052957774
high_transport,100,242,baseline_agents,1.0,0.0,0.001,100,8.777800000000008,3.435133091094922,16.55,40.808464431178606,1.0,0.0,0.0003995391125727486,0.004772732164384623
high_transport,100,242,high_agents,1.0,0.0,0.001,100,12.180480000000006,0.19321446084283497,171.42424242424244,63.21986945525428,1.0,0.0,0.0003033495828038872,0.0007890938200565177
high_transport,100,242,low_agents,1.0,0.0,0.001,100,9.09790000000001,0.9408305969308246,0.73,1.254124508503156,1.0,0.0,0.00040184347174882423,0.006642409111338871
mixed,20,42,baseline_agents,0.5,0.4,0.005,20,3.5928500000000083,1.4028132739530754,9.636363636363637,13.298667055556562,10.0,7.847225456708955,0.0004177534690082131,0.0049694135530395315
mixed,20,42,high_agents,0.5,0.4,0.005,20,5.089100000000012,0.11910716094959888,33.65,3.5135077688978096,58.6,4.535242116208525,0.00028831624250700617,0.001048114247072874
mixed,20,42,low_agents,0.5,0.4,0.005,20,7.644000000000008,0.8962107364959,0.15,0.36634754853252327,1.2,0.6958523739384593,0.00048268336064625513,0.0023874765793680582
mixed,20,142,baseline_agents,0.5,0.4,0.005,20,3.7958000000000047,2.0533852306041265,18.066666666666666,47.71263185043598,9.25,5.9016054907475,0.0005509877945704003,0.008587490624093834
mixed,20,142,high_agents,0.5,0.4,0.005,20,5.099600000000011,0.10126484296661145,34.75,3.781882015471578,58.55,3.899730085126676,0.0002910083000158221,0.0010449221691870682
mixed,20,142,low_agents,0.5,0.4,0.005,20,7.421500000000011,0.9678205303398832,0.35,0.5871429486123998,1.05,0.22360679774997894,0.00042881912451885474,0.004491909185618037
mixed,20,242,baseline_agents,0.5,0.4,0.005,20,2.30015,2.0593313752667166,5.6,3.960519446450716,6.25,6.820055563903922,0.000581160568818967,0.008623551298753241
mixed,20,242,high_agents,0.5,0.4,0.005,20,5.068500000000009,0.1213301281627952,34.55,4.198684004354347,58.3,4.2686124948956135,0.0002848451695231822,0.0010537440104471476
mixed,20,242,low_agents,0.5,0.4,0.005,20,7.581500000000011,0.6380585272610384,0.2,0.5231483637805969,1.15,0.48936048492959283,0.0004459611068101969,0.002328819634009343
mixed,50,42,baseline_agents,0.5,0.4,0.005,50,3.610760000000007,1.6560616246051365,10.125,12.447956173734939,9.8,7.1827457657008775,0.0004378991530026901,0.006374738719652218
mixed,50,42,high_agents,0.5,0.4,0.005,50,5.098700000000011,0.10885793962963085,34.18,3.578222110125049,58.7,5.088001091002323,0.000287314989841651,0.0010481106040830432
mixed,50,42,low_agents,0.5,0.4,0.005,50,7.520800000000008,0.8176118534226022,0.2,0.4517539514526256,1.28,0.83397254396151,0.00045794150709417244,0.0027963941317216347
mixed,50,142,baseline_agents,0.5,0.4,0.005,50,3.446900000000004,1.993910087936647,12.0,33.07176946405908,9.82,6.9095910862794065,0.0005084024077082448,0.007556392744662284
mixed,50,142,high_agents,0.5,0.4,0.005,50,5.097380000000009,0.0998410757562394,34.44,3.7966687869171607,59.22,4.291852746774988,0.0002803235967806537,0.0010456830462800876
